Egzersiz_Adi,Kategori,Ekipman,Aciklama
Bretzel stretch,Back,Vücut Ağırlığı,"Bretzel Esnetme Hareketi Nasıl Yapılır? Başlangıç ​​Pozisyonu: Düz bir yüzeye, örneğin bir mata, sırt üstü uzanın. Dizlerinizi bükün ve ayaklarınızı yere düz bir şekilde yerleştirin. Bacak Pozisyonu: Sağ bacağınızı kaldırın ve sol bacağınızın üzerinden geçirin, sağ ayağınızı sol dizinizin dışına yerleştirin. Sol bacağınız yerde düz kalmalıdır. Kol Pozisyonu: Sol kolunuzu omuz hizasında yana doğru uzatın, düz tutun. Sağ elinizi kullanarak sağ dizinizi vücudunuzun sol tarafında yere doğru yavaşça çekin. Esnetme: Dizinizi aşağı çekerken sol omzunuzu yerde düz tutmaya çalışın. Kalçanızda, belinizin alt kısmında ve muhtemelen göğsünüzde bir esneme hissetmelisiniz. Pozisyonu Koruyun:        Bu pozisyonu 20-30 saniye boyunca koruyun, derin nefes alın ve esnemeye kendinizi bırakın.        Diğer tarafa geçin ve işlemi tekrarlayın."
Hip hinge,Legs,Barbell,"Kalça Bükme Egzersizi Açıklaması: Kalça bükme, omurgayı düz tutarken kalçalardan bükülmeyi içeren temel bir hareket modelidir. Genellikle deadlift, kettlebell sallama ve good morning gibi egzersizlerde kullanılır. Kalça bükme hareketini yapmak için: Başlangıç ​​Pozisyonu: Ayaklarınız kalça genişliğinde açık ve dizleriniz hafifçe bükülü olarak durun. Kalçalardan Bükülme: Sırtınızı düz tutarken kalçalarınızı geriye doğru itin. Gövdeniz öne doğru eğilmeli ve göğsünüz yukarıda kalmalıdır. İndirme Aşaması: Gövdeniz yere neredeyse paralel olana veya hamstring kaslarınızda bir gerilme hissedene kadar bükmeye devam edin. Ayakta Durma Pozisyonuna Dönüş: Topuklarınızdan güç alarak kalçalarınızı öne doğru iterek başlangıç ​​pozisyonuna dönün."
Bronco,Cardio,none (bodyweight exercise),"Ragbi için kondisyon testi. 20m, 40m ve 60m'lik (20 yarda, 45 yarda, 65 yarda/45 yarda uzak mesafe) 5 mekik koşusu.
Mümkün olan en hızlı şekilde tamamlayın."
Perpendicular Unilateral Landmine Row,Shoulders,Barbell,"Barbell'i her iki yana 90 derece açıyla yerleştirerek, bir landmine aparatı kullanarak kalçalarınızdan hafifçe bükülün ve barbell'i plaka kılıfından kavrayın. Barbell'i göğüs hizasına kadar kaldırın, hareketin en üst noktasında üst kolunuz yere paralel olmalıdır."
Trap press,Shoulders,"Barbell, Bench, Dumbbell","Yere düz bir şekilde uzanın, kolunuzu yukarı doğru düz bir şekilde uzatın, dirseğinizi tamamen geriye doğru eğin ve sadece omuz kaslarınızı kullanarak ağırlığı rahat edebileceğiniz en yüksek noktaya kadar kaldırın ve tekrar yere geri dönün."
Side-laying interior rotation,Shoulders,"Barbell, Bench, Dumbbell","Yan yatın ve sehpaya en yakın kolunuzu kullanarak, dirseğinizi 90 derece bükün ve ağırlığın sehpanın üzerinden yere doğru, rahat edebileceğiniz en alçak noktaya kadar düşmesine izin verin. Ağırlığı sadece omuz rotasyonu kullanarak karşı omuza doğru kaldırın."
Supine press,Back,"Barbell, Bench",Sıkıca kavrayın ve sehpaya dik olarak itin. Sırtınızı düz tutun.
March or jog in place,Cardio,none (bodyweight exercise),"Hareket etmeden koşmayı simüle eden, düşük etkili kardiyovasküler egzersiz; ısınma, dayanıklılığı artırma veya küçük alanlarda antrenman yapmak için idealdir."
Estiramiento de piernas y cadera,Legs,none (bodyweight exercise),Alt vücut esnekliğini artırmak ve kalçalardaki gerginliği azaltmak için nazik hareketler.
Estiramiento de brazos y cuello,Abs,none (bodyweight exercise),"Üst vücuttaki gerginliği azaltır, özellikle ofiste çalışan veya uzun süre ayakta duran kişiler için faydalıdır."
Respiración profunda (de pie o sentado),Chest,none (bodyweight exercise),"Oksijenlenmeyi artırmak, stresi azaltmak ve anla bağlantı kurmak için bilinçli nefes alma tekniği."
Meditación guiada o libre,Cardio,none (bodyweight exercise),"Kaygı düzeyini azaltmaya, odaklanmayı artırmaya ve genel iyilik halini iyileştirmeye yardımcı olan bir zihinsel farkındalık egzersizi."
Smith Machine Split Squat,Legs,Barbell,"**""Smith Makinesi Split Squat""**, Smith makinesinde yapılan, bacak ve kalça kaslarını hedeflemek için ideal bir kuvvet egzersizidir.

Bir ayağı öne, diğerini arkaya koyarak,
ön uyluk yere paralel olana kadar vücudu aşağı indirmeyi içerir; bu sırada bar
makine üzerinde dikey olarak kayar. Bu egzersiz, dengeyi iyileştirmeye, kas dengesizliklerini düzeltmeye ve sırt üzerindeki stresi azaltmaya yardımcı olarak,
kuvvet antrenmanı için güvenli bir ortam sağlar."
Pull-Ups (Neutral Grip),Back,Vücut Ağırlığı,"### **Uygulama**

1. **Çekme aşaması (konsantrik):**

* Dirseklerinizi aşağı ve geriye doğru iterek, göğsünüzü ellerinize doğru çekin.

* Omuzlarınızı aşağıda ve geriye doğru tutun (omuz silkme hareketinden kaçının).

* En üst noktada sırt kaslarınızı (latissimus dorsi ve üst sırt) sıkmaya odaklanın.

2. **En üst pozisyon:**

* Çeneniz ellerinizin seviyesinde olmalı veya ellerinizin seviyesini geçmelidir.

* Kısa bir süre duraklayın ve sırt kaslarınızı (latissimus dorsi) sertçe kasın."
Reverse Fly Standing,Shoulders,Resistance band,"1. Makinenin karşısında, her iki elinizde birer kablo tutarak düzgün bir duruşla durun.
2. Ellerinizi göğsünüzün önünde tutarak başlayın ve kollarınızı yanlara doğru, dirsekleriniz neredeyse düz olacak şekilde T şeklinde açın.
3. Kollarınızı yavaşça başlangıç ​​pozisyonuna geri indirin.
4. Kollarınızı Y şeklinde açarak tekrarlayın.
5. Kollarınızı W şeklinde açarak tekrarlayın.
6. Kollarınızı yanlarınızda L şeklinde açarak tekrarlayın."
Horizontal Shoulder Flexion Stretch,Shoulders,none (bodyweight exercise),"1. Kolunuzu yana doğru kaldırın ve elinizi omuz hizasında yanınızdaki bir duvara veya kapı eşiğine koyun.
2. Göğsünüzü rahat edebileceğiniz kadar germek için vücudunuzu kolunuzdan uzağa çevirin."
Jalon caballero unialteral,Back,Dumbbell,"```Şövalye duruşunda gerçekleştirilen çekme hareketi
```"
Cat-Cow,Back,Vücut Ağırlığı,Açıklama Bulunamadı!
Dumbbell Scaption,Shoulders,Dumbbell,"Başlangıç ​​pozisyonu:

Ayaklarınız omuz genişliğinde açık olacak şekilde dik durun.

Her iki elinize de nötr tutuşla (avuç içleriniz birbirine bakacak şekilde) birer dambıl alın.

Dirseklerinizde hafif bir bükülme, omuzlarınızda gevşeklik ve kürek kemiklerinizde geriye doğru çekilmiş bir pozisyon sağlayın.

Uygulama:

Dambılları yavaşça öne ve hafifçe yana doğru, vücudunuzdan yaklaşık 30-45° açıyla kaldırın (ön kaldırma ve yan kaldırma arasında bir açı).

Kollarınız omuz hizasına gelene kadar kaldırın (başınızın üzerine çıkarmayın).

En üst noktada bir saniye bekleyin ve omuzlarınızda ve kürek kemiği stabilizatörlerinizde aktivasyonu hissedin.

Dambılları kontrollü bir şekilde başlangıç ​​pozisyonuna indirin.

Nefes alma:

Dambılları indirirken nefes alın.

Dambılları kaldırırken nefes verin.

Yaygın hatalar:

Çok ağır dambıl kullanmak (ani hareketlere neden olur).

Omuz hizasının üzerinde kaldırmak (omuz eklemine gereksiz stres uygular).

Omuzlarda hareketi kontrol altında tutmak yerine, belin alt kısmını kavisli hale getirmek.

Egzersizin amacı:

Alt trapez kasını, serratus anterior kasını ve kürek kemiği stabilizatörlerini aktive eder.

Duruşun düzeltilmesine ve omuz dengesinin iyileştirilmesine yardımcı olur."
Leg curl with elastic,Calves,Resistance band,"Ayakta durma pozisyonu: Bandı ayağınızın ortasına, ayağınızın altına yerleştirin ve çekiç gibi kavrayın."
Sliding Lateral Lunge,Legs,Barbell,"Ayaklarınız kalça genişliğinde açık olacak şekilde dik durun ve kettlebell'i göğsünüze yakın, kadeh pozisyonunda tutun. Bir ayağınızı kaydırıcı, kayma diski veya havlu üzerine koyun. Göğsünüzü dik tutun ve karın kaslarınızı aktifleştirin. Karşıdaki dizinizi bükerek ayağınızı yavaşça yana doğru kaydırın ve kalçalarınızı yana doğru bir hamle pozisyonuna indirin. Çalışan bacağın dizini ayak parmaklarınızla aynı hizada tutun ve içe doğru çökmesine izin vermeyin. Çalışmayan bacak düz kalır ve zeminde sorunsuz bir şekilde kayar. Kettlebell'i kontrol altında tutarak, bükülmüş bacağın topuğundan iterek başlangıç ​​pozisyonuna geri dönün."
Copenhagen Adduction Exercise,Legs,Bench,"Yan yatın ve dirseğinizi omuz hizasının altına yerleştirin, tıpkı yan plank pozisyonunda olduğu gibi. Üst bacağınızı, ayağınızın veya bileğinizin iç kısmı bankın üzerinde olacak şekilde bir banka koyun. Kalçalarınızı kaldırın ve alt bacağınızı yerden kaldırmadan vücudunuzu düz bir çizgide tutun. Bu egzersiz, üst bacağın addüktör kaslarını güçlü bir şekilde çalıştırırken aynı zamanda karın ve kalça stabilizatörlerini de zorlar."
Arm Raises (T/Y/I),Arms,none (bodyweight exercise),"Ayaklarınız kalça genişliğinde açık, karın kaslarınız sıkı ve kollarınız yanlarınızda rahat bir şekilde dik durun. Bu pozisyondan, omuz ve üst sırt kaslarını hedef alacak üç farklı kol kaldırma hareketi yapın:

* **T Kaldırma:** Kollarınızı yere paralel olana kadar yanlara doğru düz bir şekilde kaldırın, “T” şekli oluşturun.

* **Y Kaldırma:** Kollarınızı vücudunuzdan yaklaşık 45° açıyla yukarı kaldırarak “Y” şekli oluşturun.

* **I Kaldırma:** Kollarınızı düz bir şekilde başınızın üzerine, birbirine yakın bir şekilde kaldırarak “I” şekli oluşturun.

Omurganızı nötr tutun, belinizi kamburlaştırmaktan kaçının ve yavaş ve kontrollü bir şekilde hareket edin. Kürek kemiklerinizi birbirine yaklaştırmaya ve omuzlarınızı kulaklarınızdan uzak tutmaya odaklanın."
Typewriter Pull-ups,Back,none (bodyweight exercise),"Omuz genişliğinden biraz daha geniş bir şekilde, üstten kavrama ile barfiks çubuğuna asılın. Çeneniz çubuğun üzerinde olana kadar kendinizi yukarı çekin. En üst pozisyonda, doğrudan aşağı inmek yerine, bir kolunuzu uzatırken diğer kolunuzu bükülü tutarak vücudunuzu bir yana kaydırın. Kendinizi tekrar aşağı indirmeden önce, daktilo hareketine benzer şekilde, bir taraftan diğerine yumuşak bir şekilde geçin. Bu egzersiz, gerilim altında kalma süresini artırır ve tek taraflı çekme gücünü geliştirirken sırt kaslarını, pazı kaslarını ve omuzları güçlendirir."
Bodyweight Biceps Curl,Arms,none (bodyweight exercise),"Düz bir barın altına (bel veya göğüs hizasında) yerleşin. Avuç içleriniz size dönük (supine tutuş) ve omuz genişliğinde açık olacak şekilde barı kavrayın. Kollarınızı düz tutarak geriye doğru yaslanın, böylece vücudunuz yere açılı bir şekilde dursun. Dirseklerinizi yüksekte ve bara yakın tutarak, dirseklerinizi bükerek üst vücudunuzu bara doğru çekin, tıpkı bir pazı kıvırma hareketi gibi. Kendinizi kontrollü bir şekilde tekrar aşağı indirin. Karın kaslarınızı sıkı tutun ve pazı kaslarınızdaki gerilimi en üst düzeye çıkarmak için hareketi yavaş yapın."
Glute Kickback (Machine),Legs,Vücut Ağırlığı,"Kalça kaslarını çalıştırmak için parmak uçlarınızla değil, topuğunuzla itme hareketi yapın.

En üst noktada belinizi aşırı germeyin."
Standing Adduction (Cable),Legs,Vücut Ağırlığı,"Kalçalarınızı dik ve sabit tutun, kabloyu sadece iç uyluk kaslarınızı kullanarak karşı bacağınızın üzerinden çekin.

Gövdenizin öne eğilmesine veya dönmesine izin vermeyin — tekrarı kolaylaştırmak için yana doğru eğilmeyin."
Seated Row (Machine),Back,Vücut Ağırlığı,"Göğsünüzü yukarıda tutun ve hareketin sonunda kürek kemiklerinizi sıkın.

Çekme sırasında öne doğru kamburlaşmayın veya sırtınızı yuvarlaklaştırmayın."
kettlebell sumo deadlift,Legs,Kettlebell,"Ayaklarınızı omuz genişliğinden daha geniş açarak, parmak uçlarınızı dışa doğru çevirin.
Sırtınızı düz, omuzlarınızı geride ve göğsünüzü yukarıda tutun.
Dizleriniz, ayak parmaklarınızla aynı yönde olmalı ve öne doğru hareket etmemelidir.
Yukarı doğru kalkarken, egzersizin etkinliğini en üst düzeye çıkarmak için kalça kaslarınızı kasmanız önerilir."
rubber band glute kickback,Legs,Resistance band,"Lastik bantla kalça geri itme hareketi, eller ve dizler üzerinde yapılan bir egzersizdir; direnç bandını ayağınıza sabitleyerek topuğunuzu geriye ve yukarı doğru itersiniz, hareketin en üst noktasında kalça kaslarınızı sıkarsınız, bu sırada karın kaslarınızı sabit tutar ve sırtınızı düz tutarak kalça kaslarını hedef alıp güçlendirirsiniz."
Dumbbell Hip Thrust,Legs,Bench,"Dambıl Kalça Kaldırma
Yere oturun, arkanıza yatay olarak bir bank yerleştirin ve dizlerinizi bükün. Kalçalarınızın üzerine bir dambıl yerleştirin ve her iki ucunu da ellerinizle tutun. Rahatlığı artırmak için kalçalarınıza bir minder veya havlu koyabilirsiniz. Dizleriniz bükük ve ayaklarınız yere sağlamca basılıyken, bankın üst sırtınıza hafifçe baskı yapması için geriye doğru yaslanın. Bu başlangıç ​​pozisyonunuzdur.
Nefes alın. Nefes verin. Dambılı tutarak, topuklarınızı mindere bastırın ve kalçalarınızı yerden kaldırın, vücudunuz çeneden dize kadar düz bir çizgi oluşturana kadar, omuzlarınızı banka yaslayın ve başınızın omurganızın bir uzantısı olduğundan emin olun.
Nefes alın. Kalçalarınızı başlangıç ​​pozisyonuna geri indirin, ancak kalçalarınızı mindere yaslamayın. Belirtilen tekrar sayısı kadar tekrarlayın."
Treadmill Cardio,Cardio,none (bodyweight exercise),"Bu, dayanıklılığı artırmak, kalori yakmak ve kalp sağlığını desteklemek için koşu bandında yapılan bir kardiyovasküler egzersizdir. Hız ve eğimi kolayca ayarlama olanağı sunarak, yokuş yürüyüşünden yüksek yoğunluklu aralıklı antrenmana (HIIT) ve tempo koşularına kadar çeşitli egzersizler yapılmasına olanak tanır. Sonuçları optimize etmek için egzersizlerinizi çeşitlendirmeniz önemlidir.

Koşu Bandı Kardiyosunun Faydaları:
- Gelişmiş Kardiyovasküler Sağlık:
Koşu bandında düzenli aerobik egzersiz, kalp ve akciğerleri güçlendirerek kalp hastalığını önlemeye yardımcı olabilir.

- Kilo Verme:
Kalori yakarak, koşu bandı antrenmanı kilo verme ve sağlıklı bir kiloyu koruma için etkili bir araç olabilir.

- Kas Güçlendirme:
Bacak ve kalça kaslarını güçlendirerek, özellikle yaşla birlikte kas kaybını önlemeye yardımcı olur.

- Antrenman Esnekliği:
Hızı, eğimi ve aralıkları değiştirmenize olanak tanıyarak, egzersizinizi daha dinamik ve farklı fitness seviyelerine uyarlanabilir hale getirir.

Koşu Bandı Antrenman Çeşitleri:
- Yokuş Yürüyüşü:
Koşu bandının eğimini artırarak ve tempolu bir şekilde yürüyerek dayanıklılığınızı artırabilir ve bacak kaslarınızı çalıştırabilirsiniz.

- Dayanıklılık Koşusu:
Dayanıklılığı artırmak için kalp atış hızınızı hedef bölgede (örneğin Bölge 2) tutan rahat ve istikrarlı bir tempoda koşu.

- Aralıklı Antrenman:
Kalori yakımını ve kardiyovasküler iyileşmeyi en üst düzeye çıkarmak için yüksek yoğunluklu (hızlı koşu) dönemleri düşük yoğunluklu (kolay yürüyüş veya koşu) dönemlerle dönüşümlü olarak yapmak.

- Tempolu Koşu:
Normal bir koşudan biraz daha hızlı, istikrarlı ve sürekli bir tempoda koşu; bu, daha yoğun bir çabayı uzun süre sürdürme yeteneğinizi zorlar."
Patada de burro con mancuerna,Legs,Dumbbell,"Dambıl eşek tekmesi, kalça ve hamstring kaslarını çalıştırmak için etkili bir egzersizdir. Bu egzersiz genellikle dört ayak üzerinde, direnci artırmak için bir dambıl kullanılarak yapılır. Doğru şekilde yapılması için adımlar aşağıda açıklanmıştır.

Başlangıç ​​Pozisyonu: Bir mat üzerinde dört ayak üzerinde durun, elleriniz omuz genişliğinde ve dizleriniz kalça genişliğinde açık olsun.

Dambıl Yerleşimi: Bir dambıl alın ve kaldıracağınız bacağın dizinin arkasına yerleştirin. Egzersiz sırasında düşmesini önlemek için güvenli bir şekilde sabitlendiğinden emin olun.

Egzersiz:
Nefes alın ve nefes verirken, dizinizi 90 derecelik bir açıyla bükerek dambıllı bacağınızı düz bir şekilde yukarı kaldırın.
Bacağınız yere paralel olana kadar kaldırın ve kalça kaslarınızdaki kasılmayı hissedin.
Pozisyonu en üstte bir saniye tutun ve ardından bacağınızı yavaşça başlangıç ​​pozisyonuna indirin. Tekrarlar: Her bacak için 10 ila 15 tekrar yapın ve egzersiz boyunca doğru formu koruduğunuzdan emin olun.
Setler: Kondisyon seviyenize bağlı olarak 2 ila 3 set tamamlayın."
SMR Glutes (lax ball),Legs,Vücut Ağırlığı,Açıklama Bulunamadı!
Cardio en bicicleta estática,Cardio,none (bodyweight exercise),"Sabit Bisiklet Kardiyo Egzersizinin Faydaları
Sabit bisiklet kardiyo, sayısız sağlık ve zindelik faydası sunan mükemmel bir egzersiz şeklidir. İşte en dikkat çekici olanlardan bazıları:
Gelişmiş Kardiyovasküler Sağlık
Kalbi güçlendirir: Düzenli egzersiz, kalp verimliliğini artırmaya ve kardiyovasküler hastalık riskini azaltmaya yardımcı olur.
Dolaşımı artırır: Kan akışını iyileştirir, bu da kan basıncını düşürmeye yardımcı olabilir.
Kalori Yakımı ve Kilo Verme
Etkin kalori yakımı: Yoğunluğa bağlı olarak, saatte 400 ila 600 kalori yakabilirsiniz.
Kilo vermeye yardımcı olur: Dengeli bir diyetle birlikte, sabit bisiklet kardiyo kilo vermede etkili olabilir.
Kas Güçlendirme
Bacakları şekillendirir: Öncelikle kuadriseps, hamstring ve baldır kasları dahil olmak üzere bacak kaslarını çalıştırır.
Kas dayanıklılığını artırır: Zamanla, bacaklarınızdaki dayanıklılığı ve gücü artırabilirsiniz.

Zihinsel Sağlık Faydaları
Stresi azaltır: Egzersiz, ruh halinizi iyileştirebilen ve stresi azaltabilen endorfin salgılar.

Enerjiyi artırır: Düzenli fiziksel aktivite enerji seviyenizi artırabilir ve uyku kalitesini iyileştirebilir."
Straight-Arm Pulldown (Cable),Back,Vücut Ağırlığı,"Kollarınızı düz tutun ancak kilitlemeyin, omuzlarınızla değil, sırt kaslarınızla çekin.

Hareket sırasında omuzlarınızın yukarı kalkmasına izin vermeyin."
Seated Dumbbell Calf Raise,Calves,Dumbbell,"Oturarak yapılan dambıl baldır kaldırma hareketi, alt bacak kaslarını güçlendirmek için hedefli bir egzersizdir. Makine versiyonuyla aynı hareket modelini izler: ağırlığı dizlerinizin üzerine koyarsınız ve ayak bileklerinizi uzatıp bükerek ağırlığı hareket ettirirsiniz."
Unilateral Cable row,Back,Bench,"Kablo çekme makinesinin önüne dikey bir oturma sehpası yerleştirin. Sehpayı, bir tarafa odaklanabileceğiniz şekilde konumlandırın ve ardından yan kaslara odaklanarak yavaşça çekme hareketleri yapın ve gerilmiş pozisyondayken bu kaslarda gerginlik olduğundan emin olun."
Side Straight-Arm Pulldown (Cable),Back,Vücut Ağırlığı,"Gövdenizi sabit tutun ve dış sırt kaslarınızı kullanarak kolu yan tarafınız boyunca aşağı doğru çekin.

Tekrar sayısını hileli bir şekilde artırmak için vücudunuzu bükmeyin veya gövdenizi döndürmeyin."
Shoulder Internal Rotation (Cable),Shoulders,Vücut Ağırlığı,"Dirseğinizi sanki oraya yapıştırılmış gibi yanınıza yapışık tutun.

Gövdenizi döndürmeyin; sadece ön kolunuz hareket etmeli."
Shoulder External Rotation (Cable),Shoulders,Vücut Ağırlığı,"Dirseğinizi yanınızda sabit tutun ve ön kolunuzu yavaşça dışa doğru döndürün.

Bileğinizin veya dirseğinizin yukarı doğru kaymasına izin vermeyin — tek bir düzlemde kalın."
Side Lateral Raise (Cable),Back,Vücut Ağırlığı,"Dirsekleriniz önde olacak şekilde kaldırın, elleriniz önde değil.

Omuzlarınızı silkmeyin; trapez kaslarınızı sakin tutun."
Front Raise (Cable),Shoulders,Vücut Ağırlığı,"Kolu kontrollü bir hareketle hafif bir yay şeklinde kaldırın.

Tekrarın başlangıcında gövdenizi sallamayın."
Face pulls with yellow/green band,Back,Resistance band,"Yüz çekme egzersizi (bantla) – ayakta yatay çekme. Bandı yüz hizasında tutun, dirseklerinizi yukarı ve yana doğru yüzünüze doğru çekerken kürek kemiklerinizi birbirine yaklaştırın. Üst sırt, arka omuz kaslarını çalıştırır ve duruşu iyileştirir."
Isometric Squat to Failure,Legs,none (bodyweight exercise),"İzometrik Çömelme (Kas Kaslarının Kas Kasılmasını Durdurana Kadar): Bir Güç Antrenmanı Tekniği

Tanım

İzometrik çömelme (kas kasılmasını durdurmaya kadar), belirli bir açıda statik bir çömelme pozisyonunda durarak, kaslarınız artık kasılmayı sürdüremeyene kadar bu pozisyonu koruduğunuz bir çömelme egzersizi varyasyonudur."
Single-Leg Lunge with Kettlebell:,Legs,Kettlebell,"Tek Bacaklı Kettlebell Lunge Nasıl Yapılır?

Hazırlık: Ayaklarınız bitişik şekilde ayakta durun. Kettlebell'i iki elinizle sapından tutarak göğsünüze yakın tutun veya tek elinizle (çalışan bacağınızla aynı tarafta) tutun.

Adım Atma ve İndirme: Bir bacağınızla büyük bir adım öne (veya dizleriniz için daha güvenli olan geriye) atın ve her iki diziniz 90 derecelik bir açı oluşturana kadar kalçalarınızı aşağı indirin.

Odaklanma: Sırtınızı düz ve gövdenizi dik tutarak ağırlığınızı ön (veya bükülmüş) bacağınıza verin.

Dönüş: Başlangıç ​​pozisyonuna dönmek için ön bacağınızla itme hareketi yapın."
Single-leg side glute press,Legs,Incline bench,"Tek Bacaklı Yan Kalça Presi, bacak presi makinesinin bir varyasyonudur; vücudunuzu pedin üzerine yana doğru eğerek, bir ayağınızı yüksek ve hafif açılı bir şekilde yerleştirip ağırlığı bastırarak, dış kalça kaslarını (gluteus medius/minimus) ve hamstring kaslarını güçlü bir şekilde hedefleyerek dengeli bacak gelişimi ve stabilitesi sağlar. Bu harekette, topuktan itmeye ve kilitlemeden kontrolü korumaya odaklanmak gerekir.

Nasıl Yapılır:

Kurulum: Bacak presi makinesine oturun, vücudunuzu bir kalçanıza doğru döndürün, bir ayağınızı platformun üzerine yaklaşık 45 derecelik bir açıyla, ayak parmaklarınız hafifçe dışa/öne bakacak şekilde yerleştirin.

Pozisyon: Kalçanızı, dizinizi ve ayak bileğinizi hizalı tutun ve belinizin pedin üzerinde kalmasını sağlayın.

İniş: Ağırlığı yavaşça indirin, dizinizin derinlemesine (90 dereceye yakın) bükülmesine izin verin, kalça ve hamstring kaslarınızda gerilme hissedin.

Pres: Ağırlığı tekrar yukarı doğru itmek için topuğunuzdan (ayak parmaklarınızdan değil) güç alın, kalça ve hamstring kaslarınızı sıkın ve bacağınız tamamen uzamadan hemen önce durun. **Kontrol:** Zıplamaktan kaçının ve belinizin alt kısmının minderden kalkmasına izin vermeyin; hareket boyunca gerginliği koruyun."
Cossack Squats,Legs,Vücut Ağırlığı,Açıklama Bulunamadı!
Assisted chin-ups,Back,Vücut Ağırlığı,Makine desteğiyle (ağırlık kullanarak) barfiks çekme
Neutral-grip pull-ups or TRX rows,Arms,Pull-up bar,"- **Çekme Hareketi: Dikey Çekme — Daha çok sırt kaslarına (latus kasları) odaklanır.**

**TRX Kürek Çekme Hareketi: Yatay Çekme — Daha çok sırt kaslarına (orta sırt kalınlığı ve duruşu) odaklanır.**"
Shrimp Squad,Legs,none (bodyweight exercise),"Tek bacaklı çömelme hareketi, bir bacağınız arkanızda olacak şekilde yapılır."
L-Sit Pull-ups,Arms,none (bodyweight exercise),L-Sit Pull-up hareketi hem üst vücut hem de karın kaslarını çalıştırır.
Back Lever,Back,"Pull-up bar, none (bodyweight exercise)","Kollarınızı uzatarak, yüzüstü bir şekilde barfiks çubuğundan sarkın."
Windshield Wipers,Abs,"Pull-up bar, none (bodyweight exercise)","Barfiks çubuğuna asıl, bacaklarınızı tavana doğru kaldırın. Bacaklarınız düz bir şekilde, alt vücudunuzu bir silecek gibi soldan sağa doğru hareket ettirin."
Machine Side Lateral Raises,Shoulders,Vücut Ağırlığı,"Makineyle yapılan yan omuz kaldırma hareketi, omuz kaslarını (lateral deltoidler) izole eden bir egzersizdir. Denge sağlamak için bir makine üzerinde yapılır ve omuz hizasına kadar yanlara doğru pedleri veya tutacakları kaldırarak dış omuz kaslarını hedef alır, ardından dirsekler hafifçe bükülü ve trapez kasları aşağıda tutularak yavaşça indirilir. Bu egzersiz, sallanmayı önleyerek ve sürekli gerilim sağlayarak omuz genişliğini artırmaya yardımcı olur, bu nedenle yeni başlayanlar veya antrenmanı bitirmek için harika bir egzersizdir.

**Makineyle Yan Omuz Kaldırma Nasıl Yapılır**

**Kurulum:** Omuzlarınız makinenin pivot noktasıyla hizalanacak, göğsünüz pede (veya dışa dönükse sırtınıza) yaslanacak ve kollarınız pedler/tutacaklar ile 90 derecelik bir açı oluşturacak şekilde koltuğu ayarlayın.

**Başlangıç ​​Pozisyonu:** Tutacakları rahat bir şekilde kavrayın, dirsekler hafifçe bükülü ve omuzlar kulaklarınızdan aşağıda (basınç altında) olsun.

**Kaldırma Aşaması:** Nefes verin ve kollarınızı yanlara doğru kaldırarak, üst kollarınızı yere paralel olana kadar yana doğru hareket ettirin.

**Kaldırma Aşaması:** Nefes verin ve kollarınızı yanlara doğru kaldırın. Tepe Noktasında Kasılma: En üst noktada kısa bir süre duraklayın, yan omuz kaslarınızı sıkın, ancak omuzlarınızı yukarı kaldırmayın.

İndirme Aşaması: Nefes alın ve ağırlığı yavaşça ve kontrollü bir şekilde aşağı indirin, aşağı inerken ağırlığa karşı direnç gösterin."
Cable Front Raise with a small bar,Shoulders,Vücut Ağırlığı,"Küçük bir bar ile yapılan Kablo Ön Kaldırma hareketi, sürekli gerilim sağlayarak ön deltoid kaslarınızı (ön omuz kasları) izole eder. Bu hareket için alçak bir makaraya sırtınızı dönerek durmanız, barı üstten kavrama ile tutmanız ve hafifçe bükülmüş kollarla omuz hizasına kadar önünüze kaldırmanız gerekir. Sallanmadan ve karın kaslarınızı sıkı tutarak kontrollü bir şekilde yukarı ve aşağı hareket etmelisiniz. Hafif ila orta ağırlık kullanın ve kas çalışmasını hissetmek için yavaş, kontrollü tekrarlara odaklanın, momentumdan değil.

Kablo Ön Kaldırma (Bar) Nasıl Yapılır

Kurulum: Küçük düz bir barı alçak bir kablo makarasına takın. Ağırlığı hafif veya orta bir ayara getirin.

Başlangıç ​​Pozisyonu: Makineye sırtınızı dönerek durun, barı kalça hizasında üstten kavrama (avuç içleri aşağı bakacak şekilde) ile tutun, kollarınız uzatılmış ancak kilitlenmemiş olsun. Ayaklarınız omuz genişliğinde açık, karın kaslarınız sıkı, omuzlarınız geride ve aşağıda olsun.

Kaldırma: Nefes verin ve dirseklerinizde hafif bir bükülme tutarak, elleriniz omuz hizasına (veya biraz altına) ulaşana kadar barı yavaşça önünüze doğru düz bir şekilde kaldırın.

Bekleme Aşaması: En üst noktada kısa bir süre duraklayın ve ön omuz kaslarınızı sıkın.

İndirme Aşaması: Gerginliği koruyarak, barı yavaş ve kontrollü bir şekilde başlangıç ​​pozisyonuna indirirken nefes alın."
Floor dumbbell bench press,Chest,Dumbbell,"Bu egzersiz, sırt üstü yatarak her iki elinize birer dambıl alıp, göğüs kaslarını hedefleyerek dambılları tavana doğru itmeyi içerir. Ardından dambıllar başlangıç ​​pozisyonuna, yere geri indirilir."
